name,title
Dr. Ihab Hanna,"DDS, FAAID-DABOI, DICOI"
Dr. Isabella Rocchietta,"DDS, MSc"
Dr. Istvan Urban,"DMD, MD, PhD"
Dr. JB White,"DDS, AAID Member"
Dr. Jaideep R. Deshpande,"MBA, Executive Director, Strategy and Marketing"
Dr. James Fetsch,Fellow Academy of General Dentistry - Implant Specialist
Dr. James Nager,"DMD, Associate Fellow AAID"
Dr. Janice Wang,"DDS, ABOI/ID Diplomate, AAID Fellow"
Dr. Jason Kim,"DDS, AAID Fellow, ABOI/ID Diplomate"
Dr. Jeff Briney,Comprehensive Dentistry & Laser Specialist
Dr. Jim Janakievski,"DDS, MSD"
Dr. John Minichetti,"DMD, DABOI/ID, Fellow AAID"
Dr. John Sorensen,Prosthodontist
Dr. Jonathan Tsang,"DMD, DABOI/ID"
Dr. Joseph Leonetti,"DMD, DABOI/ID, FAAID"
Dr. Junji Tagami,"DDS, PhD"
Dr. Kathryn Alderman,"Chief Executive Officer, Intelligent Care Alliance; Director, AI and Technology Integration, Dental AI Association"
Dr. Keith Long,Implant Specialist
Dr. Kwan M. Lee,"DDS, DABOI, DICOI"
Dr. Laura Williams,Professor
Dr. Lily Hu,"DMD, Board-Certified Anesthesiologist"
Dr. Loren Israelsen,"DDS, Founder and CEO"
Dr. Louis K. Rafetto,Office-Based Anesthesia
Dr. Marco Veneziani,DDS
Dr. Maria Rodriguez,Associate Professor
Dr. Markus Hürzeler,"DDS, PhD"
Dr. Marta Revilla León,Prosthodontist
Dr. Martin Mendelson,Professional Development
Dr. Matthew Fay,Sleep Medicine Specialist
Dr. Matthew Fien,DDS
Dr. Michael A. Pikos,Full-Arch Therapy
Dr. Michael Cohen,Periodontal & Implant Specialist - Founder of Seattle Study Club
Dr. Michael D. Scherer,Full-Arch Implantology
Dr. Michael Pikos,DDS
Dr. Michael R. Andersen,Prosthodontist & Maxillofacial Prosthetist
Dr. Michael Reddy,Dean of Academic Affairs
Dr. Michael Shulman,"DDS, AAID Course Instructor"
Dr. Michael Sterling,Periodontist & Sedation Specialist
Dr. Mijin Choi,Academy President
Dr. Miles Madison,"DDS, MS"
Dr. Mostafa Altalib,Orthodontist & Sleep Medicine Specialist
Dr. Mostafa Altalibi,Complex Esthetic Cases Expert
Dr. Nakul Rathi,"DDS, MS Prosthodontics, NYU Implant Fellowship"
Dr. Natasha Furchtgott,Craniomaxillofacial Surgery Specialist
Dr. Nathan Doyel,Digital All-on-X
Dr. Nikolaos Soldatos,"DDS, MSD, PhD"
Dr. Oded Bahat,"BDS, MSD"
Dr. Oliver Pin-Harry,"DDS, MS, Cert. Prostho, FRCD(C)"
Dr. Oscar González-Martin,"DDS, PhD, MSc"
Dr. Paul S. Rosen,"DMD, MS"
