name,title
Nick N. Khalili,"MST, MBA, CM&AA, Chief Financial Officer"
Paul Goodman,DMD
Peter Swenson,Chief Executive Officer
Philippe Hujoel,Professor
Prof. Anton Sculean,"DMD, PhD"
Prof. Frank Schwarz,DDS
Prof. Lior Shapira,Professor
Prof. Mariano Sanz,"MD, DDS, PhD"
Prof. Nikolaos Donos,PhD
Prof. Tord Berglundh,"DDS, PhD"
Prof. Wim Teughels,"DDS, PhD"
Rafael Pinzon,dds
Raffi Aghvinian,"CDT, Digital Innovation Leader"
Rashed Din,"Chief Executive Officer, Maya Dental"
Ray Caruso,"Chief Executive Officer, Lone Peak Dental Group"
Robyn Gannaway,Sales Consultant
Rooz Khosravi,Clinical Professor
Rose House,"Regional Director, Operations, Illinois, P1 Dental Partners"
Roxanna Esguerra,Associate Professor
Ruben Arebalo,Prosthodontist
Sabrina Sennett,"Vice President, Operations, Heartland Dental"
Sam Alawie,"Master Dental Technician & Co-Founder, Beverly Hills Dental Laboratory"
Sara Mahmood,"DDS, MS, MAGD, Chief Executive Officer and President"
Sarah Cottingham,"Chief Operating Officer, Dental Design Studios"
Sarah Cottingham,Registered Dental Hygienist
Shannon B. Williams,Workforce Development Expert
Slahedinne Zidi,VP Marketing & Education - Straumann Group
Sodabeh Etminan,"DMD, MPH, Senior Director"
Stacia Edmond,Dental Professional
Stacy Feffer-Farley,"Co-Founder, Full Arch Sales Academy & Case Acceptance Expert"
Stef Simich,Dental Industry Executive
Stephen Floe,Chief Executive Officer
Steve Chu,Clinical Professor
Steven Morgano,Professor and Chair
Sundeep Rawal,"SVP, Implant Support Services"
Sutton Lake,DMD
Suzie Ramos,Dental Industry Executive
Taiseer Sulaiman,Professor
Taylor Jean Manalili,Private Practice
Terri Bradley,Medical Coding Expert
Tiffany Dufu,Leadership Expert
Timothy A. Hess,Dentist
Tracy Butler,Orthodontist & Same-Day Treatment Specialist
Trevor Maurer,"Chief Executive Officer, OMS360"
Troy Aikman,"Pro Football Hall of Fame Quarterback, Emmy-nominated Broadcaster, and Voice of ESPN's Monday Night Football"
Van Ramos,Program Chair
Wayne Silverman,"DDS, Chief Dental Officer, Collective Care Dental"
Wei-Shao Lin,Professor
