name,title
Dr. Joan Pi-Anfruns,"Private Practice, Los Angeles"
Dr. John A. Svirsky,"DDS, MEd"
Dr. John C. Kois,"DMD, MSD"
Dr. John C. Minichetti,"DMD, FAAID, DABOI/ID"
Dr. John F. Caccamese Jr.,Craniomaxillofacial Surgery Expert
Dr. John Minichetti,"DMD, DABOI/ID, Fellow AAID"
Dr. John Sorensen,Prosthodontist
Dr. Jonathan Esquivel,DDS
Dr. Jonathan Tai,Clinical Periodontics
Dr. Jonathan Tsang,"DMD, DABOI/ID"
Dr. Joseph Leonetti,"DMD, DABOI/ID, FAAID"
Dr. Junji Tagami,"DDS, PhD"
Dr. Kamal F. Busaidy,Anesthesia Management
Dr. Karim El Khouly,Associate Professor Columbia University - ITI Study Club Co-Director
Dr. Karl Jepsen,PhD
Dr. Kathryn Alderman,"Chief Executive Officer, Intelligent Care Alliance; Director, AI and Technology Integration, Dental AI Association"
Dr. Katie Lee,Orthodontist & Board-Certified Specialist
Dr. Katja Nelson,"Dean of Dental Medicine, Universitätsklinikum Freiburg"
Dr. Kayleigh E. Temple,"DDS, MA, MS"
Dr. Keith Long,Implant Specialist
Dr. Kevin Brown,Clinical Professor
Dr. Kimberly Schlam,Esthetic Dentistry & Technology Integration Specialist
Dr. Kostas Chochlidakis,Prosthodontist and Full Arch Specialist
Dr. Kumar Subramanian,"DDS, MSD"
Dr. Kwan M. Lee,"DDS, DABOI, DICOI"
Dr. Lane T. Knight,Anesthesia Education
Dr. Larissa Trojan,Digital Implant Dentistry & Bioengineering Specialist
Dr. Larry Brecht,Multidisciplinary Prosthodontist & Maxillofacial Expert
Dr. Larry E. Stigall,Anesthesia Safety
Dr. Laura Williams,Professor
Dr. Lawrence E. Brecht,"Director of Maxillofacial Prosthetics, Northwell Health"
Dr. Lawrence Nalitt,"DDS, DABOI/ID, FAGD"
Dr. Lea Hachem,"DDS, MS, FICD"
Dr. Likith V. Reddy,Sleep Apnea Surgery Expert
Dr. Liliana E. Aranguren,"DDS, MDSc"
Dr. Lily Garcia,Dental Association Executive
Dr. Lily Hu,"DMD, Board-Certified Anesthesiologist"
Dr. Lisa Taylor,Professor
Dr. Loren Israelsen,"DDS, Founder and CEO"
Dr. Lorenzo Breschi,DDS
Dr. Lorenzo Mordini,"Director Post Graduate Periodontology, Tufts University"
Dr. Lorenzo Tavelli,Director of Postgraduate Periodontology - Harvard School of Dental Medicine
Dr. Louis K. Rafetto,Office-Based Anesthesia
Dr. Louis Kaufman,"Managing Member, Smile Design Studio of Hyde Park LLC"
Dr. Luca Cordaro,Prosthodontist
Dr. Luciana M. Shaddox,Periodontal Research
Dr. Luiz Gonzaga,Clinical Associate Professor University of Florida - ITI Speaker
Dr. Mahtab Sadrameli,"Dentist, Smiles of Naperville"
Dr. Manrique Fonseca,Senior Lecturer University of Bern - ITI Future Leader
Dr. Manu Chaudhry,"President, Capitol Dental Care"
Dr. Marco Ferrari,Professor of Restorative Dentistry
Dr. Marco Veneziani,DDS
Dr. Maria Elisa Galarraga-Vinueza,Professor Tufts University - Osteology Foundation Expert
Dr. Maria Emanuel Ryan,"DDS, PhD"
Dr. Maria Kunstadter,"Co-Founder and Chief Executive Officer, The TeleDentists"
Dr. Maria Rodriguez,Associate Professor
Dr. Mariam Margvelashvili-Malament,Prosthodontist
Dr. Marianna Evans,DMD
Dr. Mariano Polack,Prosthodontist
Dr. Marie C. Schweinebraten,DMD
Dr. Mariz Tanious,"Chief Dental Officer, Affinity Dental Management"
Dr. Mark Lowe,Orthodontist & Invisalign Elite Premier Provider
Dr. Mark Montana,Prosthodontist
Dr. Mark Schlam,Oral Surgeon
Dr. Markus Hürzeler,"DDS, PhD"
Dr. Marta Revilla León,Prosthodontist
Dr. Martin Mendelson,Professional Development
Dr. Massimo Costalonga,Periodontal Research
Dr. Matt Carlston,"Vice President, Marketing and Partner Recruitment, Comfort Dental"
Dr. Matthew Fay,Sleep Medicine Specialist
Dr. Matthew Fien,DDS
Dr. Melissa Shotell,Orthodontist & Digital Technology Expert
